Vertices,Iterations,Time(ms)
100;497;0,303
200;990;0,690
300;1492;0,783
400;1983;0,250
500;2490;0,296
600;2986;0,371
700;3467;0,888
800;3959;0,494
900;4459;0,667
1000;4973;0,614
1100;5442;3,138
1200;5974;1,066
1300;6463;0,414
1400;6950;0,356
1500;7436;0,349
1600;7944;0,415
1700;8446;0,365
1800;8940;0,376
1900;9388;0,681
2000;9958;0,425
2100;10427;0,498
2200;10908;0,795
2300;11393;1,909
2400;11887;0,528
2500;1;0,001
2600;12908;1,078
2700;13395;1,599
2800;13940;1,130
2900;14391;0,643
3000;14857;0,739
3100;15383;0,766
3200;15927;0,821
3300;16339;0,892
3400;16897;1,025
3500;17370;3,652
3600;17849;1,827
3700;18353;1,285
3800;18888;1,282
3900;19371;3,311
4000;19850;2,722
4100;20379;1,218
4200;20870;1,041
4300;21327;2,832
4400;21900;1,786
4500;22336;2,551
4600;22785;1,420
4700;23374;1,991
4800;23814;1,655
4900;24342;2,074
5000;24854;3,962
5100;25350;3,537
5200;25857;2,106
5300;26332;3,003
5400;26808;3,236
5500;27341;1,944
5600;27832;4,565
5700;28314;1,659
5800;28843;2,004
5900;29306;2,026
6000;29838;2,814
6100;30304;2,834
6200;30757;3,533
6300;31265;3,451
6400;31772;3,278
6500;32293;2,793
6600;32824;2,873
6700;33274;3,759
6800;33763;3,736
6900;34255;2,713
7000;34815;4,066
7100;35238;3,809
7200;35726;3,132
7300;36221;2,238
7400;36770;2,857
7500;37194;2,232
7600;37758;2,666
7700;38291;3,346
7800;38735;3,718
7900;39184;3,179
8000;0;0,001
8100;40200;2,004
8200;40691;2,097
8300;41237;3,276
8400;41697;3,501
8500;42302;3,459
8600;42677;2,153
8700;43246;2,907
8800;0;0,000
8900;44228;3,407
9000;44668;2,576
9100;45197;2,892
9200;45723;2,675
9300;46129;2,788
9400;46720;2,285
9500;47205;2,854
9600;47713;3,779
9700;48134;3,033
9800;48646;2,433
9900;49170;1,990
10000;49758;2,094
